# null, year, acm, acn, star, stard, pl, px, rb, part, debasat, debcoll, deb, null, null
# Bin     YDate                 ACM          ACN          Star         StarD        PL           PX           RB           Part         DebASAT      DebColl      Deb          Err          Total
349  1957.95346     0    0    0    0    2    0    0    0    0    0    0    0    2
350  1957.95619     0    0    0    0    2    0    0    0    0    0    0    0    2
351  1957.95893     0    0    0    0    2    0    0    0    0    0    0    0    2
352  1957.96167     0    0    0    0    2    0    0    0    0    0    0    0    2
353  1957.96441     0    0    0    0    2    0    0    0    0    0    0    0    2
354  1957.96715     0    0    0    0    2    0    0    0    0    0    0    0    2
355  1957.96988     0    0    0    0    2    0    0    0    0    0    0    0    2
356  1957.97262     0    0    0    0    2    0    0    0    0    0    0    0    2
357  1957.97536     0    0    0    0    2    0    0    0    0    0    0    0    2
358  1957.9781 0    0    0    0    2    0    0    0    0    0    0    0    2
359  1957.98084     0    0    0    0    2    0    0    0    0    0    0    0    2
360  1957.98357     0    0    0    0    2    0    0    0    0    0    0    0    2
361  1957.98631     0    0    0    0    2    0    0    0    0    0    0    0    2
362  1957.98905     0    0    0    0    2    0    0    0    0    0    0    0    2
363  1957.99179     0    0    0    0    2    0    0    0    0    0    0    0    2
364  1957.99452     0    0    0    0    2    0    0    0    0    0    0    0    2
365  1957.99726     0    0    0    0    2    0    0    0    0    0    0    0    2
366  1958 0    0    0    0    2    0    0    0    0    0    0    0    2
367  1958.00274     0    0    0    0    2    0    0    0    0    0    0    0    2
368  1958.00548     0    0    0    0    2    0    0    0    0    0    0    0    2
369  1958.00821     0    0    0    0    2    0    0    0    0    0    0    0    2
370  1958.01095     0    0    0    0    1    0    0    0    0    0    0    0    1
371  1958.01369     0    0    0    0    1    0    0    0    0    0    0    0    1
372  1958.01643     0    0    0    0    1    0    0    0    0    0    0    0    1
373  1958.01916     0    0    0    0    1    0    0    0    0    0    0    0    1
374  1958.0219 0    0    0    0    1    0    0    0    0    0    0    0    1
375  1958.02464     0    0    0    0    1    0    0    0    0    0    0    0    1
376  1958.02738     0    0    0    0    1    0    0    0    0    0    0    0    1
377  1958.03012     0    0    0    0    1    0    0    0    0    0    0    0    1
378  1958.03285     0    0    0    0    1    0    0    0    0    0    0    0    1
379  1958.03559     0    0    0    0    1    0    0    0    0    0    0    0    1
380  1958.03833     0    0    0    0    1    0    0    0    0    0    0    0    1
381  1958.04107     0    0    0    0    1    0    0    0    0    0    0    0    1
382  1958.04381     0    0    0    0    1    0    0    0    0    0    0    0    1
383  1958.04654     0    0    0    0    1    0    0    0    0    0    0    0    1
384  1958.04928     0    0    0    0    1    0    0    0    0    0    0    0    1
385  1958.05202     0    0    0    0    1    0    0    0    0    0    0    0    1
386  1958.05476     0    0    0    0    1    0    0    0    0    0    0    0    1
387  1958.05749     0    0    0    0    1    0    0    0    0    0    0    0    1
388  1958.06023     0    0    0    0    1    0    0    0    0    0    0    0    1
389  1958.06297     0    0    0    0    1    0    0    0    0    0    0    0    1
390  1958.06571     0    0    0    0    1    0    0    0    0    0    0    0    1
391  1958.06845     0    0    0    0    1    0    0    0    0    0    0    0    1
392  1958.07118     0    0    0    0    1    0    0    0    0    0    0    0    1
393  1958.07392     0    0    0    0    1    0    0    0    0    0    0    0    1
